system:index,B_max,B_mean,B_p20,B_stdDev,Class,G_max,G_mean,G_p20,G_stdDev,NDVI_max,NDVI_mean,NDVI_p20,NDVI_stdDev,N_max,N_mean,N_p20,N_stdDev,R_max,R_mean,R_p20,R_stdDev,random,sum,.geo
00000000000000000000,132.0,106.1,93.5,14.425325,1,122.0,110.8,102.0,9.378699,0.4690909,0.35853785,0.28284845,0.077706255,202.0,175.8,144.0,26.27851,102.0,82.25,72.0,11.017599,0.8649210637878665,1.0,"{""type"":""Point"",""coordinates"":[-71.43945417770277,43.00254496618977]}"
00000000000000000001,139.0,117.0,100.5,17.742603,1,146.0,125.0,111.0,14.57395,0.44483986,0.31818765,0.20396039,0.0999066,206.0,189.0,166.5,21.156559,120.0,97.4,82.0,14.527216,0.9856931891509693,1.0,"{""type"":""Point"",""coordinates"":[-71.45029425236369,42.98543985454874]}"
00000000000000000002,111.0,106.4,102.0,4.0792155,1,139.0,115.4,91.0,20.450916,0.46613547,0.3791948,0.31226674,0.060971357,206.0,179.6,164.0,16.131956,97.0,80.8,71.5,9.867117,0.7859134266104463,1.0,"{""type"":""Point"",""coordinates"":[-71.47919368629108,42.93263072077278]}"
00000000000000000003,111.0,101.6,91.5,8.546344,1,128.0,112.6,103.0,10.248902,0.5306859,0.40318745,0.32119927,0.08436998,212.0,180.8,164.5,19.630589,86.0,76.2,68.0,7.6785417,0.8747858685842188,1.0,"{""type"":""Point"",""coordinates"":[-71.49124217733748,42.90475688008769]}"
00000000000000000004,120.0,109.6,103.5,6.4683847,1,150.0,115.8,92.5,21.994545,0.4722222,0.38972166,0.30090177,0.07377847,212.0,186.0,164.5,18.899734,106.0,81.8,71.0,13.377593,0.8449988593915281,1.0,"{""type"":""Point"",""coordinates"":[-71.51889752207096,43.02739107725956]}"
00000000000000000005,115.0,106.4,100.5,6.8293486,1,139.0,120.4,103.5,15.882066,0.4238683,0.37118766,0.32813418,0.04250112,220.0,183.6,159.5,24.904617,99.0,83.8,74.5,9.495262,0.9848083550227686,1.0,"{""type"":""Point"",""coordinates"":[-71.50185929694574,43.02749363658379]}"
00000000000000000006,137.0,104.0,80.0,22.117867,1,135.0,104.0,86.0,20.823065,0.37878788,0.2848915,0.19916326,0.08522059,189.0,140.8,98.5,39.715992,109.0,76.8,61.0,18.2691,0.9619113433113995,1.0,"{""type"":""Point"",""coordinates"":[-71.46615973391185,43.0352881452252]}"
00000000000000000007,134.0,111.6,98.0,14.2351675,1,140.0,113.8,93.0,22.049036,0.48387095,0.15146673,-0.087814316,0.23307993,207.0,140.2,92.5,53.73044,135.0,93.2,69.5,24.078205,0.9050373187118667,1.0,"{""type"":""Point"",""coordinates"":[-71.46685089457515,43.029883714748436]}"
00000000000000000008,133.0,114.8,96.5,21.811924,1,130.0,116.2,98.5,15.992498,0.39814815,0.31642833,0.21915969,0.08196976,206.0,170.4,146.0,27.982851,98.0,87.8,77.0,11.855801,0.780137053357746,1.0,"{""type"":""Point"",""coordinates"":[-71.4672477545689,43.029018649144064]}"
00000000000000000009,134.0,117.6,101.5,18.746733,1,154.0,128.4,108.0,18.347752,0.3271605,0.25579318,0.17372881,0.07180927,215.0,166.0,138.5,32.631275,109.0,97.0,85.0,11.2605505,0.9200822203397097,1.0,"{""type"":""Point"",""coordinates"":[-71.39819411565523,42.975166085721604]}"
